iter	Passed	Remaining
0	140	140139
1	141	70758
2	143	47695
3	144	36095
4	146	29173
5	148	24527
6	150	21359
7	152	18883
8	153	16931
9	155	15370
10	156	14079
11	157	12996
12	159	12091
13	160	11308
14	162	10648
15	163	10070
16	165	9557
17	166	9105
18	168	8686
19	169	8309
20	171	7973
21	172	7677
22	174	7397
23	175	7140
24	176	6900
25	178	6684
26	179	6484
27	181	6299
28	183	6129
29	184	5962
30	185	5805
31	187	5663
32	188	5527
33	189	5397
34	191	5276
35	193	5169
36	194	5066
37	196	4962
38	197	4866
39	199	4776
40	200	4687
41	201	4600
42	203	4520
43	204	4440
44	205	4367
45	207	4298
46	208	4230
47	209	4163
48	211	4104
49	213	4047
50	214	3993
51	216	3937
52	217	3885
53	218	3833
54	221	3806
55	223	3761
56	224	3718
57	226	3672
58	228	3637
59	229	3594
60	230	3551
61	232	3510
62	233	3472
63	235	3438
64	236	3401
65	238	3368
66	239	3337
67	241	3303
68	242	3273
69	244	3243
70	245	3214
71	247	3186
72	248	3155
73	251	3142
74	252	3113
75	253	3087
76	255	3062
77	256	3035
78	258	3008
79	259	2983
80	260	2959
81	262	2937
82	263	2907
83	264	2885
84	266	2864
85	267	2841
86	268	2820
87	270	2798
88	271	2778
89	272	2757
90	274	2738
91	275	2718
92	276	2699
93	278	2687
94	280	2670
95	281	2652
96	283	2635
97	284	2619
98	285	2601
99	287	2585
100	288	2567
101	289	2551
102	290	2534
103	292	2517
104	293	2504
105	295	2488
106	296	2474
107	297	2460
108	299	2450
109	301	2436
110	302	2422
111	303	2409
112	305	2397
113	306	2383
114	308	2373
115	310	2363
116	311	2349
117	312	2337
118	314	2324
119	315	2312
120	316	2300
121	317	2287
122	319	2275
123	320	2265
124	321	2253
125	323	2243
126	324	2231
127	326	2221
128	327	2209
129	328	2199
130	330	2189
131	331	2178
132	332	2168
133	333	2158
134	335	2147
135	336	2137
136	338	2133
137	340	2126
138	341	2117
139	343	2108
140	344	2098
141	345	2086
142	346	2077
143	348	2068
144	349	2059
145	350	2050
146	352	2042
147	353	2035
148	355	2027
149	356	2019
150	357	2012
151	359	2003
152	360	1996
153	361	1988
154	363	1979
155	364	1971
156	365	1964
157	367	1960
158	369	1954
159	371	1947
160	372	1938
161	373	1931
162	374	1923
163	375	1916
164	377	1909
165	378	1903
166	380	1896
167	381	1891
168	383	1886
169	385	1880
170	386	1874
171	388	1869
172	389	1863
173	391	1857
174	392	1851
175	394	1845
176	395	1839
177	398	1839
178	400	1835
179	402	1832
180	403	1827
181	405	1821
182	406	1816
183	408	1811
184	410	1807
185	412	1803
186	413	1799
187	415	1794
188	416	1789
189	418	1783
190	419	1777
191	421	1772
192	422	1766
193	424	1761
194	425	1756
195	428	1756
196	429	1752
197	431	1748
198	434	1748
199	435	1743
200	437	1740
201	439	1735
202	441	1732
203	443	1728
204	444	1725
205	446	1720
206	447	1716
207	449	1711
208	451	1707
209	452	1704
210	454	1700
211	457	1700
212	459	1696
213	460	1692
214	462	1688
215	463	1683
216	465	1679
217	466	1674
218	468	1671
219	470	1669
220	472	1665
221	474	1661
222	475	1657
223	477	1653
224	478	1649
225	480	1645
226	482	1641
227	483	1637
228	485	1634
229	487	1631
230	488	1627
231	490	1623
232	492	1620
233	493	1616
234	495	1612
235	497	1609
236	498	1605
237	500	1601
238	501	1597
239	503	1593
240	504	1590
241	506	1586
242	508	1583
243	509	1579
244	511	1575
245	512	1571
246	515	1571
247	517	1568
248	519	1565
249	520	1561
250	522	1558
251	523	1554
252	525	1552
253	527	1549
254	529	1547
255	531	1545
256	533	1542
257	535	1539
258	536	1536
259	538	1533
260	540	1529
261	541	1525
262	543	1522
263	545	1521
264	547	1519
265	549	1516
266	551	1513
267	552	1509
268	554	1505
269	555	1503
270	557	1499
271	559	1496
272	560	1492
273	562	1489
274	563	1486
275	565	1482
276	566	1479
277	568	1476
278	570	1473
279	571	1469
280	573	1466
281	575	1465
282	577	1462
283	579	1462
284	581	1458
285	583	1455
286	584	1452
287	586	1449
288	587	1446
289	589	1442
290	590	1439
291	593	1437
292	594	1435
293	596	1432
294	597	1428
295	599	1424
296	600	1421
297	602	1418
298	603	1415
299	607	1418
300	609	1415
301	611	1413
302	613	1410
303	615	1408
304	616	1405
305	618	1403
306	620	1401
307	622	1398
308	624	1395
309	625	1392
310	627	1389
311	628	1386
312	630	1383
313	632	1380
314	634	1380
315	637	1379
316	639	1376
317	640	1374
318	642	1370
319	643	1367
320	644	1364
321	646	1361
322	648	1358
323	649	1355
324	651	1352
325	652	1349
326	654	1346
327	655	1343
328	657	1341
329	659	1338
330	660	1335
331	661	1331
332	663	1329
333	665	1326
334	666	1323
335	667	1319
336	669	1316
337	670	1313
338	671	1310
339	674	1308
340	675	1305
341	676	1302
342	678	1299
343	679	1296
344	681	1293
345	683	1291
346	684	1288
347	686	1285
348	687	1282
349	689	1280
350	690	1277
351	694	1278
352	696	1276
353	698	1274
354	699	1271
355	701	1269
356	703	1266
357	705	1264
358	707	1263
359	709	1261
360	711	1259
361	713	1256
362	714	1254
363	716	1252
364	718	1249
365	720	1247
366	722	1245
367	724	1244
368	726	1242
369	728	1240
370	730	1237
371	731	1235
372	733	1232
373	735	1230
374	736	1227
375	738	1225
376	739	1222
377	741	1220
378	743	1218
379	745	1215
380	747	1214
381	748	1211
382	750	1209
383	753	1208
384	755	1206
385	756	1203
386	758	1201
387	759	1198
388	761	1195
389	767	1200
390	769	1197
391	770	1195
392	772	1192
393	774	1190
394	775	1187
395	776	1184
396	778	1182
397	779	1179
398	784	1181
399	786	1179
400	788	1177
401	789	1175
402	791	1172
403	792	1169
404	794	1167
405	795	1164
406	798	1163
407	799	1160
408	801	1157
409	802	1155
410	803	1152
411	805	1149
412	806	1146
413	808	1143
414	809	1141
415	810	1138
416	812	1136
417	815	1134
418	816	1132
419	818	1130
420	820	1128
421	821	1125
422	823	1123
423	825	1120
424	826	1118
425	828	1116
426	830	1113
427	831	1111
428	833	1109
429	835	1107
430	836	1104
431	838	1102
432	839	1099
433	841	1097
434	845	1097
435	846	1095
436	848	1092
437	849	1090
438	851	1087
439	852	1085
440	854	1083
441	856	1080
442	857	1078
443	859	1076
444	861	1074
445	862	1071
446	864	1069
447	865	1066
448	866	1063
449	868	1061
450	869	1058
451	873	1058
452	874	1056
453	876	1054
454	877	1051
455	879	1049
456	881	1047
457	883	1044
458	884	1042
459	886	1040
460	888	1038
461	890	1036
462	892	1034
463	893	1032
464	895	1030
465	896	1027
466	898	1025
467	900	1023
468	902	1022
469	904	1020
470	906	1017
471	907	1015
472	909	1013
473	910	1010
474	912	1008
475	913	1005
476	915	1003
477	917	1001
478	918	999
479	919	996
480	921	994
481	922	991
482	923	988
483	925	986
484	927	984
485	928	982
486	930	979
487	932	978
488	934	976
489	935	974
490	937	971
491	939	969
492	940	967
493	942	965
494	943	962
495	945	960
496	946	958
497	948	955
498	950	953
499	951	951
500	953	949
501	954	946
502	956	944
503	957	942
504	958	940
505	961	938
506	963	936
507	964	934
508	966	932
509	967	929
510	969	927
511	989	942
512	993	942
513	995	940
514	997	939
515	999	937
516	1001	935
517	1002	933
518	1004	931
519	1007	929
520	1008	927
521	1011	925
522	1013	924
523	1015	922
524	1017	920
525	1020	919
526	1023	918
527	1025	916
528	1028	915
529	1030	913
530	1032	911
531	1034	909
532	1035	907
533	1038	906
534	1043	906
535	1045	905
536	1047	903
537	1049	900
538	1053	901
539	1055	899
540	1057	897
541	1060	896
542	1062	894
543	1065	892
544	1067	891
545	1069	889
546	1073	888
547	1074	886
548	1076	884
549	1078	882
550	1080	880
551	1083	879
552	1086	878
553	1088	876
554	1090	874
555	1092	872
556	1093	870
557	1095	867
558	1097	865
559	1099	864
560	1101	862
561	1103	860
562	1105	857
563	1107	855
564	1108	853
565	1110	851
566	1112	849
567	1114	847
568	1116	845
569	1117	843
570	1119	841
571	1121	839
572	1123	837
573	1125	834
574	1126	832
575	1128	830
576	1130	828
577	1132	826
578	1133	824
579	1135	822
580	1137	820
581	1142	820
582	1147	821
583	1150	819
584	1152	817
585	1156	817
586	1158	815
587	1160	813
588	1161	810
589	1163	808
590	1164	806
591	1166	804
592	1168	802
593	1170	799
594	1174	799
595	1175	797
596	1177	794
597	1178	792
598	1180	790
599	1181	787
600	1183	785
601	1184	783
602	1187	781
603	1188	779
604	1190	777
605	1191	774
606	1193	772
607	1195	770
608	1196	768
609	1198	766
610	1199	763
611	1203	762
612	1205	760
613	1206	758
614	1208	756
615	1210	754
616	1211	752
617	1213	749
618	1215	748
619	1219	747
620	1222	746
621	1225	744
622	1228	743
623	1231	742
624	1233	739
625	1234	737
626	1236	735
627	1237	733
628	1239	731
629	1241	728
630	1242	726
631	1244	724
632	1246	722
633	1247	720
634	1249	718
635	1251	716
636	1252	714
637	1254	711
638	1255	709
639	1257	707
640	1258	704
641	1261	703
642	1262	701
643	1264	698
644	1266	696
645	1267	694
646	1269	692
647	1270	690
648	1271	687
649	1273	685
650	1274	683
651	1276	681
652	1278	679
653	1279	677
654	1281	675
655	1283	672
656	1284	670
657	1286	668
658	1287	666
659	1289	664
660	1291	662
661	1293	660
662	1294	658
663	1296	655
664	1298	653
665	1299	651
666	1301	649
667	1302	647
668	1304	645
669	1305	643
670	1307	641
671	1309	639
672	1311	637
673	1312	635
674	1314	632
675	1315	630
676	1317	628
677	1319	626
678	1321	624
679	1323	622
680	1324	620
681	1326	618
682	1327	616
683	1328	613
684	1330	611
685	1331	609
686	1332	607
687	1334	605
688	1335	602
689	1337	600
690	1339	598
691	1340	596
692	1342	594
693	1343	592
694	1344	590
695	1346	588
696	1347	585
697	1350	584
698	1352	582
699	1354	580
700	1356	578
701	1357	576
702	1358	574
703	1360	571
704	1361	569
705	1363	567
706	1365	565
707	1366	563
708	1368	561
709	1369	559
710	1371	557
711	1372	555
712	1373	553
713	1375	550
714	1376	548
715	1380	547
716	1381	545
717	1382	543
718	1384	541
719	1385	538
720	1387	536
721	1388	534
722	1389	532
723	1391	530
724	1392	528
725	1393	526
726	1395	523
727	1396	521
728	1398	519
729	1399	517
730	1401	515
731	1402	513
732	1404	511
733	1405	509
734	1409	508
735	1410	506
736	1412	504
737	1414	502
738	1415	499
739	1416	497
740	1418	495
741	1419	493
742	1420	491
743	1422	489
744	1423	487
745	1424	485
746	1426	483
747	1427	481
748	1429	479
749	1430	476
750	1432	474
751	1433	472
752	1434	470
753	1436	468
754	1438	466
755	1439	464
756	1441	462
757	1442	460
758	1444	458
759	1446	456
760	1447	454
761	1449	452
762	1450	450
763	1451	448
764	1453	446
765	1454	444
766	1456	442
767	1457	440
768	1458	438
769	1460	436
770	1461	434
771	1463	432
772	1464	430
773	1466	428
774	1468	426
775	1469	424
776	1471	422
777	1472	420
778	1474	418
779	1475	416
780	1477	414
781	1478	412
782	1480	410
783	1481	408
784	1483	406
785	1484	404
786	1486	402
787	1487	400
788	1489	398
789	1490	396
790	1491	394
791	1493	392
792	1494	390
793	1497	388
794	1499	386
795	1500	384
796	1502	382
797	1503	380
798	1504	378
799	1506	376
800	1507	374
801	1509	372
802	1510	370
803	1512	368
804	1513	366
805	1515	364
806	1517	362
807	1518	360
808	1519	358
809	1521	356
810	1522	354
811	1524	352
812	1525	350
813	1528	349
814	1529	347
815	1530	345
816	1532	343
817	1533	341
818	1535	339
819	1536	337
820	1538	335
821	1539	333
822	1540	331
823	1542	329
824	1543	327
825	1544	325
826	1546	323
827	1547	321
828	1549	319
829	1550	317
830	1551	315
831	1553	313
832	1554	311
833	1557	309
834	1559	308
835	1560	306
836	1562	304
837	1564	302
838	1565	300
839	1567	298
840	1568	296
841	1570	294
842	1572	292
843	1573	290
844	1575	288
845	1577	287
846	1578	285
847	1580	283
848	1581	281
849	1583	279
850	1585	277
851	1586	275
852	1588	273
853	1589	271
854	1591	269
855	1592	267
856	1594	266
857	1595	264
858	1597	262
859	1598	260
860	1600	258
861	1601	256
862	1603	254
863	1604	252
864	1606	250
865	1607	248
866	1609	246
867	1610	244
868	1612	243
869	1614	241
870	1616	239
871	1618	237
872	1620	235
873	1621	233
874	1625	232
875	1626	230
876	1628	228
877	1630	226
878	1632	224
879	1633	222
880	1634	220
881	1636	218
882	1637	217
883	1639	215
884	1641	213
885	1642	211
886	1644	209
887	1646	207
888	1647	205
889	1649	203
890	1651	202
891	1652	200
892	1654	198
893	1655	196
894	1657	194
895	1659	192
896	1660	190
897	1661	188
898	1663	186
899	1664	184
900	1666	183
901	1667	181
902	1669	179
903	1670	177
904	1672	175
905	1674	173
906	1676	171
907	1677	169
908	1679	168
909	1680	166
910	1681	164
911	1683	162
912	1684	160
913	1686	158
914	1687	156
915	1689	154
916	1690	153
917	1692	151
918	1693	149
919	1695	147
920	1696	145
921	1698	143
922	1700	141
923	1701	139
924	1703	138
925	1705	136
926	1707	134
927	1708	132
928	1710	130
929	1711	128
930	1712	126
931	1714	125
932	1715	123
933	1717	121
934	1718	119
935	1719	117
936	1721	115
937	1723	113
938	1724	112
939	1726	110
940	1728	108
941	1729	106
942	1731	104
943	1733	102
944	1735	101
945	1736	99
946	1738	97
947	1739	95
948	1741	93
949	1742	91
950	1744	89
951	1745	88
952	1747	86
953	1748	84
954	1750	82
955	1751	80
956	1752	78
957	1754	76
958	1755	75
959	1757	73
960	1758	71
961	1759	69
962	1761	67
963	1763	65
964	1765	64
965	1766	62
966	1767	60
967	1769	58
968	1770	56
969	1772	54
970	1774	52
971	1776	51
972	1777	49
973	1779	47
974	1780	45
975	1782	43
976	1784	42
977	1785	40
978	1787	38
979	1789	36
980	1791	34
981	1793	32
982	1795	31
983	1796	29
984	1798	27
985	1800	25
986	1801	23
987	1803	21
988	1804	20
989	1806	18
990	1808	16
991	1809	14
992	1810	12
993	1812	10
994	1814	9
995	1816	7
996	1817	5
997	1820	3
998	1822	1
999	1824	0
